"","country","year","sucide_rate"
"1","Armenia",2016,19.37
"2","Armenia",2016,6.73
"3","Armenia",2016,4.56
"4","Armenia",2016,2.47
"5","Armenia",2016,1.95
"6","Armenia",2016,1.95
"7","Armenia",2016,1.56
"8","Armenia",2016,0.74
"9","Armenia",2016,0.72
"10","Armenia",2016,0.51
"11","Austria",2016,68.9
"12","Austria",2016,31.22
"13","Austria",2016,20.29
"14","Austria",2016,14.19
"15","Austria",2016,12.75
"16","Austria",2016,11.03
"17","Austria",2016,9.81
"18","Austria",2016,7.46
"19","Austria",2016,4.51
"20","Austria",2016,3.07
"21","Croatia",2016,77.31
"22","Croatia",2016,38.94
"23","Croatia",2016,25.57
"24","Croatia",2016,17.49
"25","Croatia",2016,16.26
"26","Croatia",2016,12.51
"27","Croatia",2016,12.38
"28","Croatia",2016,8.24
"29","Croatia",2016,2.6
"30","Croatia",2016,2.26
"31","Cyprus",2016,14.03
"32","Cyprus",2016,8.61
"33","Cyprus",2016,8.33
"34","Cyprus",2016,8.19
"35","Cyprus",2016,2.93
"36","Cyprus",2016,2.55
"37","Cyprus",2016,1.4
"38","Cyprus",2016,1.11
"39","Cyprus",2016,0
"40","Cyprus",2016,0
"41","Czech Republic",2016,51.16
"42","Czech Republic",2016,26.45
"43","Czech Republic",2016,23.86
"44","Czech Republic",2016,18.79
"45","Czech Republic",2016,14.78
"46","Czech Republic",2016,6.33
"47","Czech Republic",2016,5.9
"48","Czech Republic",2016,5.2
"49","Czech Republic",2016,4.91
"50","Czech Republic",2016,4.38
"51","Grenada",2016,0
"52","Grenada",2016,0
"53","Grenada",2016,0
"54","Grenada",2016,0
"55","Grenada",2016,0
"56","Grenada",2016,0
"57","Grenada",2016,0
"58","Grenada",2016,0
"59","Grenada",2016,0
"60","Grenada",2016,0
"61","Hungary",2016,86.84
"62","Hungary",2016,46.51
"63","Hungary",2016,31.27
"64","Hungary",2016,23.03
"65","Hungary",2016,15.48
"66","Hungary",2016,11.96
"67","Hungary",2016,10.21
"68","Hungary",2016,8.45
"69","Hungary",2016,4.98
"70","Hungary",2016,2.61
"71","Iceland",2016,31.96
"72","Iceland",2016,30.08
"73","Iceland",2016,24.99
"74","Iceland",2016,24.9
"75","Iceland",2016,11.46
"76","Iceland",2016,8.61
"77","Iceland",2016,6.07
"78","Iceland",2016,0
"79","Iceland",2016,0
"80","Iceland",2016,0
"81","Lithuania",2016,96.98
"82","Lithuania",2016,76.32
"83","Lithuania",2016,70.62
"84","Lithuania",2016,50.17
"85","Lithuania",2016,23.05
"86","Lithuania",2016,15.03
"87","Lithuania",2016,11.53
"88","Lithuania",2016,10.09
"89","Lithuania",2016,4.38
"90","Lithuania",2016,3.55
"91","Mauritius",2016,19.38
"92","Mauritius",2016,19.04
"93","Mauritius",2016,18.68
"94","Mauritius",2016,18.28
"95","Mauritius",2016,11.12
"96","Mauritius",2016,4.26
"97","Mauritius",2016,3.5
"98","Mauritius",2016,3.38
"99","Mauritius",2016,1.66
"100","Mauritius",2016,0
"101","Mongolia",2016,43.69
"102","Mongolia",2016,33.81
"103","Mongolia",2016,33.62
"104","Mongolia",2016,25.54
"105","Mongolia",2016,19.55
"106","Mongolia",2016,11.4
"107","Mongolia",2016,7.29
"108","Mongolia",2016,5.13
"109","Mongolia",2016,3.69
"110","Mongolia",2016,0.67
"111","Netherlands",2016,22.72
"112","Netherlands",2016,21.75
"113","Netherlands",2016,20.41
"114","Netherlands",2016,14.97
"115","Netherlands",2016,11.14
"116","Netherlands",2016,10.26
"117","Netherlands",2016,9.29
"118","Netherlands",2016,7.21
"119","Netherlands",2016,6.23
"120","Netherlands",2016,3.41
"121","Qatar",2016,4.43
"122","Qatar",2016,4
"123","Qatar",2016,3.11
"124","Qatar",2016,2.01
"125","Qatar",2016,1.67
"126","Qatar",2016,1.21
"127","Qatar",2016,0
"128","Qatar",2016,0
"129","Qatar",2016,0
"130","Qatar",2016,0
"131","Romania",2016,29.73
"132","Romania",2016,29.49
"133","Romania",2016,21.46
"134","Romania",2016,9.86
"135","Romania",2016,8.26
"136","Romania",2016,6.11
"137","Romania",2016,4.55
"138","Romania",2016,3.4
"139","Romania",2016,2.13
"140","Romania",2016,1.34
"141","Sweden",2016,27.82
"142","Sweden",2016,20.97
"143","Sweden",2016,20.46
"144","Sweden",2016,17.01
"145","Sweden",2016,11.56
"146","Sweden",2016,9.46
"147","Sweden",2016,9.28
"148","Sweden",2016,9.12
"149","Sweden",2016,6.86
"150","Sweden",2016,6.3
"151","Thailand",2016,14.1
"152","Thailand",2016,14.09
"153","Thailand",2016,13.52
"154","Thailand",2016,13.47
"155","Thailand",2016,6.8
"156","Thailand",2016,4.34
"157","Thailand",2016,3.67
"158","Thailand",2016,3.53
"159","Thailand",2016,2.47
"160","Thailand",2016,1.33
"161","Antigua and Barbuda",2015,15.62
"162","Antigua and Barbuda",2015,0
"163","Antigua and Barbuda",2015,0
"164","Antigua and Barbuda",2015,0
"165","Antigua and Barbuda",2015,0
"166","Antigua and Barbuda",2015,0
"167","Antigua and Barbuda",2015,0
"168","Antigua and Barbuda",2015,0
"169","Antigua and Barbuda",2015,0
"170","Antigua and Barbuda",2015,0
"171","Antigua and Barbuda",2015,0
"172","Antigua and Barbuda",2015,0
"173","Argentina",2015,34.38
"174","Argentina",2015,18.74
"175","Argentina",2015,14.31
"176","Argentina",2015,14.13
"177","Argentina",2015,12.25
"178","Argentina",2015,4.51
"179","Argentina",2015,3.55
"180","Argentina",2015,3.52
"181","Argentina",2015,3.13
"182","Argentina",2015,2.01
"183","Argentina",2015,1.06
"184","Argentina",2015,0.54
"185","Armenia",2015,19.56
"186","Armenia",2015,6.92
"187","Armenia",2015,4.96
"188","Armenia",2015,4.21
"189","Armenia",2015,3.91
"190","Armenia",2015,1.68
"191","Armenia",2015,1.42
"192","Armenia",2015,0.97
"193","Armenia",2015,0.92
"194","Armenia",2015,0.73
"195","Armenia",2015,0
"196","Armenia",2015,0
"197","Australia",2015,29.97
"198","Australia",2015,26.86
"199","Australia",2015,24
"200","Australia",2015,19.55
"201","Australia",2015,17.46
"202","Australia",2015,9.18
"203","Australia",2015,7.21
"204","Australia",2015,6.81
"205","Australia",2015,6.3
"206","Australia",2015,5.88
"207","Australia",2015,0.56
"208","Australia",2015,0.4
"209","Austria",2015,73.71
"210","Austria",2015,32.13
"211","Austria",2015,24.46
"212","Austria",2015,15.16
"213","Austria",2015,13.2
"214","Austria",2015,11.74
"215","Austria",2015,10.01
"216","Austria",2015,6.21
"217","Austria",2015,3.87
"218","Austria",2015,3.64
"219","Austria",2015,0.25
"220","Austria",2015,0.24
"221","Belgium",2015,45.06
"222","Belgium",2015,33.74
"223","Belgium",2015,29.41
"224","Belgium",2015,22.09
"225","Belgium",2015,14.4
"226","Belgium",2015,14.12
"227","Belgium",2015,13.94
"228","Belgium",2015,13.84
"229","Belgium",2015,6.2
"230","Belgium",2015,3.23
"231","Belgium",2015,0.32
"232","Belgium",2015,0.31
"233","Belize",2015,44.17
"234","Belize",2015,31.08
"235","Belize",2015,21.43
"236","Belize",2015,10.56
"237","Belize",2015,7.68
"238","Belize",2015,7.33
"239","Belize",2015,5.41
"240","Belize",2015,5.11
"241","Belize",2015,2.69
"242","Belize",2015,0
"243","Belize",2015,0
"244","Belize",2015,0
"245","Brazil",2015,19.19
"246","Brazil",2015,13.04
"247","Brazil",2015,12
"248","Brazil",2015,10.76
"249","Brazil",2015,7.91
"250","Brazil",2015,3.2
"251","Brazil",2015,3.17
"252","Brazil",2015,2.66
"253","Brazil",2015,2.34
"254","Brazil",2015,2.33
"255","Brazil",2015,0.49
"256","Brazil",2015,0.36
"257","Chile",2015,41.44
"258","Chile",2015,21.59
"259","Chile",2015,21.14
"260","Chile",2015,21.04
"261","Chile",2015,15.99
"262","Chile",2015,5.59
"263","Chile",2015,5.05
"264","Chile",2015,4.85
"265","Chile",2015,4.76
"266","Chile",2015,4.46
"267","Chile",2015,1.06
"268","Chile",2015,0.71
"269","Colombia",2015,16.33
"270","Colombia",2015,11.27
"271","Colombia",2015,10.83
"272","Colombia",2015,9.49
"273","Colombia",2015,9.12
"274","Colombia",2015,4.32
"275","Colombia",2015,2.75
"276","Colombia",2015,1.46
"277","Colombia",2015,1.4
"278","Colombia",2015,1.34
"279","Colombia",2015,1.13
"280","Colombia",2015,0.96
"281","Croatia",2015,78.85
"282","Croatia",2015,43.43
"283","Croatia",2015,26.94
"284","Croatia",2015,23.01
"285","Croatia",2015,14.63
